Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
11;1000011;Поступление зарплаты на счет;Другое;0;0.33;женский;0;0;высшее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000031;Форма банка (без печати работодателя);Лечение;1;0.49;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;109;46;Торговля;ЗАО;холост / не замужем;3;2;2;1;0;0.0891089109;0;0;0;0;0.6;3;2;92;5;2;1;17;43;1;0;0;0;0;0;0
11;1000051;2НДФЛ;Другое;1;0.59;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;47;47;Торговля;ООО;холост / не замужем;1;0;0;0;0;0.0063694268;1;0;0;0;0.5555555556;5;4;156;9;3;1;18;89;1;0;0;0;0;0;0
11;1000071;Поступление зарплаты на счет;Покупка автомобиля;1;0.36;мужской;0;0;высшее;специалист;>250;0;32;27;Информационные технологии;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;7;1;0;1;32;32;0;0;0;0;0;0;0
11;1000091;Свободная форма с печатью работодателя;Ремонт;1;0.53;женский;0;0;высшее;специалист;< 50;0;27;50;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000111;Форма банка (без печати работодателя);Ремонт;0;0.38;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000131;Свободная форма с печатью работодателя;Ремонт;1;0.45;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000151;Поступление зарплаты на счет;Ремонт;1;0.12;мужской;1;0;высшее;специалист;>250;0;23;28;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
11;1000171;Свободная форма с печатью работодателя;Покупка автомобиля;1;0.47;мужской;1;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000191;Форма банка (без печати работодателя);Ремонт;1;0.57;мужской;2;0;высшее;менеджер среднего звена;>250;0;168;40;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000211;Форма банка (без печати работодателя);Покупка автомобиля;1;0.46;женский;1;0;среднее-специальное;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000231;Форма банка (без печати работодателя);Другое;1;0.44;мужской;0;0;высшее;менеджер высшего звена;< 50;0;31;41;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000251;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.24;женский;0;0;высшее;менеджер высшего звена;< 50;0;50;52;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1000271;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.5;мужской;0;0;высшее;менеджер среднего звена;>250;0;6;53;Торговля;ЗАО;холост / не замужем;0;0;0;0;0;0;0;2;0;0;0.5;3;3;46;6;2;3;3;28;0;0;0;0;0;0;0
